,original_es_r,original_es_type,original_n,replication_es_r,replication_es_type,replication_n,original_doi,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_doi,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,discipline,description,tags,result,replication_citation_html,original_citation_html
26,0.11,b,632.0,0.03,,5199.0,10.1126/science.1150952,Elizabeth W. Dunn; Lara B. Aknin; Michael I. Norton,Spending Money on Others Promotes Happiness,Science,319.0,5870,1687,2008.0,10.1037/pspa0000191,Lara B. Aknin; Elizabeth W. Dunn; Jason D. E. Proulx; Iris Lok; Michael I. Norton,Does spending money on others promote happiness?: A registered replication report.,Journal of Personality and Social Psychology,119.0,2,e15,2020.0,Social Psychology,Spending money on other people leads to greater happiness than spending money on oneself (positive affect),Prosocial spending,inconclusive,"<a href=""https://doi.org/10.1037/pspa0000191"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Aknin L. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 2020</a>","<a href=""https://doi.org/10.1126/science.1150952"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Dunn E. <i>et al.</i> <i>Science</i> 2008</a>"
27,0.11,b,632.0,0.03,,5199.0,10.1126/science.1150952,Elizabeth W. Dunn; Lara B. Aknin; Michael I. Norton,Spending Money on Others Promotes Happiness,Science,319.0,5870,1687,2008.0,10.1037/pspa0000191,Lara B. Aknin; Elizabeth W. Dunn; Jason D. E. Proulx; Iris Lok; Michael I. Norton,Does spending money on others promote happiness?: A registered replication report.,Journal of Personality and Social Psychology,119.0,2,e15,2020.0,Social Psychology,Spending money on other people leads to greater happiness than spending money on oneself (positive emotion),Prosocial spending,inconclusive,"<a href=""https://doi.org/10.1037/pspa0000191"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Aknin L. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 2020</a>","<a href=""https://doi.org/10.1126/science.1150952"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Dunn E. <i>et al.</i> <i>Science</i> 2008</a>"
28,0.11,b,632.0,0.09,,5199.0,10.1126/science.1150952,Elizabeth W. Dunn; Lara B. Aknin; Michael I. Norton,Spending Money on Others Promotes Happiness,Science,319.0,5870,1687,2008.0,10.1037/pspa0000191,Lara B. Aknin; Elizabeth W. Dunn; Jason D. E. Proulx; Iris Lok; Michael I. Norton,Does spending money on others promote happiness?: A registered replication report.,Journal of Personality and Social Psychology,119.0,2,e15,2020.0,Social Psychology,Spending money on other people leads to greater happiness than spending money on oneself (retrospective positive emotion),Prosocial spending,inconclusive,"<a href=""https://doi.org/10.1037/pspa0000191"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Aknin L. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 2020</a>","<a href=""https://doi.org/10.1126/science.1150952"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Dunn E. <i>et al.</i> <i>Science</i> 2008</a>"
29,0.277889222,,72.0,0.146417424,,243.0,10.1126/science.1211180,Loukas Balafoutas; Matthias Sutter,Affirmative Action Policies Promote Women and Do Not Harm Efficiency in the Laboratory,Science,335.0,6068,579,2012.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,Affirmative action policies promote women and do not harm effciency ,"Social Science Replication Project, Science, Nature, Human Behavior",success,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1211180"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Balafoutas L. <i>et al.</i> <i>Science</i> 2012</a>"
30,0.289140344,,57.0,-0.035470117,,531.0,10.1126/science.1215647,Will M. Gervais; Ara Norenzayan,Analytic Thinking Promotes Religious Disbelief,Science,336.0,6080,493,2012.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,Analytic thinking promotes religious disbelief,"Social Science Replication Project, Science, Nature, Human Behavior",inconclusive,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1215647"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Gervais W. <i>et al.</i> <i>Science</i> 2012</a>"
31,0.222969398,,178.0,0.182338253,,407.0,10.1126/science.1253932,Uri Gneezy; Elizabeth A. Keenan; Ayelet Gneezy,Avoiding overhead aversion in charity,Science,346.0,6209,632,2014.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,Avoiding overhead aversion in charity,"Social Science Replication Project, Science, Nature, Human Behavior",success,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1253932"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Gneezy U. <i>et al.</i> <i>Science</i> 2014</a>"
32,0.961380601,,15.0,0.828870177,,14.0,10.1126/science.1224313,Hillel Aviezer; Yaacov Trope; Alexander Todorov,"Body Cues, Not Facial Expressions, Discriminate Between Intense Positive and Negative Emotions",Science,338.0,6111,1225,2012.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,"Body cues, not facial expressions, discriminate between intense positive and negative emotions","Social Science Replication Project, Science, Nature, Human Behavior",success,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1224313"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Aviezer H. <i>et al.</i> <i>Science</i> 2012</a>"
33,0.631400585,,63.0,0.343817025,,42.0,10.1126/science.1183532,Marco A. Janssen; Robert Holahan; Allen Lee; Элинор Остром,Lab Experiments for the Study of Social-Ecological Systems,Science,328.0,5978,613,2010.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,costly punishment in ecological systems is used but lacks a gross positive effect on resource harvesting unless combined with communication,"Social Science Replication Project, Science, Nature, Human Behavior",success,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1183532"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Janssen M. <i>et al.</i> <i>Science</i> 2010</a>"
34,0.673590839,,15.0,0.436459839,,92.0,10.1126/science.1221936,Katherine Duncan; Arhanti Sadanand; Lila Davachi,Memory’s Penumbra: Episodic Memory Decisions Induce Lingering Mnemonic Biases,Science,337.0,6093,485,2012.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,episodic memory decisions induce lingering mnemonic biases,"Social Science Replication Project, Science, Nature, Human Behavior",success,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1221936"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Duncan K. <i>et al.</i> <i>Science</i> 2012</a>"
35,0.367646217,,69.0,0.049590591,,234.0,10.1126/science.1207745,Betsy Sparrow; Jenny Liu; Daniel M. Wegner,Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips,Science,333.0,6043,776,2011.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,Google effects on memory: cognitive consequences of having information at our fngertips,"Social Science Replication Project, Science, Nature, Human Behavior",inconclusive,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1207745"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Sparrow B. <i>et al.</i> <i>Science</i> 2011</a>"
36,0.453113467,,32.0,0.354691803,,89.0,10.1126/science.1195701,Carey K. Morewedge; Young Eun Huh; Joachim Vosgerau,Thought for Food: Imagined Consumption Reduces Actual Consumption,Science,330.0,6010,1530,2010.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,imagined consumption reduces actual consumption,"Social Science Replication Project, Science, Nature, Human Behavior",success,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1195701"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Morewedge C. <i>et al.</i> <i>Science</i> 2010</a>"
37,0.269728035,,54.0,0.062703826,,599.0,10.1126/science.1189993,Joshua M. Ackerman; Christopher C. Nocera; John A. Bargh,Incidental Haptic Sensations Influence Social Judgments and Decisions,Science,328.0,5986,1712,2010.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,Incidental Haptic Sensations Influence Social Judgments and Decisions,"Social Science Replication Project, Science, Nature, Human Behavior",inconclusive,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1126/science.1189993"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ackerman J. <i>et al.</i> <i>Science</i> 2010</a>"
38,0.200582698,,200.0,0.11604169,,480.0,10.1038/nature15392,Akihiro Nishi; Hirokazu Shirado; David G. Rand; Nicholas A. Christakis,Inequality and visibility of wealth in experimental social networks,Nature,526.0,7573,426,2015.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,Inequality and visibility of wealth in experimental social networks,"Social Science Replication Project, Science, Nature, Human Behavior",success,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1038/nature15392"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Nishi A. <i>et al.</i> <i>Nature</i> 2015</a>"
39,0.524652481,,51.0,0.360503018,,65.0,10.1038/nature12774,Maxime Derex; Marie‐Pauline Beugin; Bernard Godelle; Michel Raymond,Experimental evidence for the influence of group size on cultural complexity,Nature,503.0,7476,389,2013.0,10.1038/s41562-018-0399-z,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2.0,9,637,2018.0,Psychology,infuence of group size on cultural complexity,"Social Science Replication Project, Science, Nature, Human Behavior",success,"<a href=""https://doi.org/10.1038/s41562-018-0399-z"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Camerer C. <i>et al.</i> <i>Nature Human Behaviour</i> 2018</a>","<a href=""https://doi.org/10.1038/nature12774"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Derex M. <i>et al.</i> <i>Nature</i> 2013</a>"
