"description","tags","osf_link","result","ref_original","ref_replication"
"The effect of logo dynamism (high and low) on brand attitudes.","dynamic imagery, logo design, brand attitudes, engagement, perceived movement","https://osf.io/tnmvq/","Failure","Cian, L., Krishna, A., and Elder, R. S. (2014). This logo moves me: dynamic imagery from static images. J. Market. Res. 51, 184–197. doi:  13.0023 Study 1","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
"The authors of this paper hypothesize that consumers judge Progression ads to be more credible than simple Before/After ads.","","https://researchbox.org/58","Success","Cian, L., Longoni, C., & Krishna, A. (2020). Advertising a Desired Change: When Process Simulation Fosters (vs. Hinders) Credibility and Persuasion. Journal of Marketing Research, 57(3), 489-508.  Study 2","Simmons, J. &. Nelson, L.D. (2020). [94] Data Replicada #9: Are Progression Ads More Credible? Data Colada. https://datacolada.org/94  Replication 2"
"The authors of this paper hypothesize that consumers judge Progression ads to be more credible than simple Before/After ads.","","https://researchbox.org/58","Success","Cian, L., Longoni, C., & Krishna, A. (2020). Advertising a Desired Change: When Process Simulation Fosters (vs. Hinders) Credibility and Persuasion. Journal of Marketing Research, 57(3), 489-508.  Study 2","Simmons, J. &. Nelson, L.D. (2020). [94] Data Replicada #9: Are Progression Ads More Credible? Replication 1 Data Colada. https://datacolada.org/94"
"Natural-scene perception requires attention","","https://osf.io/xwn9m/","OS not significant","Cohen, M. A., Alvarez, G. A., & Nakayama, K. (2011). Natural-scene perception requires attention. Psychological science, 22(9), 1165-1172.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.","Adult, Attention, Color Perception, Cues, Female, Functional Laterality, Humans, Inhibition (Psychology), Male, Multilingualism, Orientation, Pattern Recognition, Visual, Psychomotor Performance, Reaction Time","https://osf.io/p9thw/","OS not significant","Colzato, L.S., Bajo, M.T., van den Wildenberg, W., Paolieri, D., Nieuwenhuis, S., La Heij, W., & Hommel, B. (2008). Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 302-312.","Kappes, H. B. (2023, September 28). Replication of LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel (2008, JEPLMC 34(2), Exp. 3). Retrieved from osf.io/p9thw"
"Unfavorable consumer perceptions and behavioral outcomes will be highest when the triple scarcity effect occurs (i.e., no liquidity, limited lending options, and perceived consequences of loss).","resource scarcity, triple scarcity effect, payday loans, lending, financial well-being, Kredit, Credit, Entscheidung, Decision","https://osf.io/a2e96/","OS not significant","Cook, L. A., & Sadeghein, R. (2018). Effects of perceived scarcity on financial decision making. Journal of Public Policy & Marketing, 37(1), 68-87. Study 3","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44), e2103313118."
"1/f noise and effort on implicit measures of bias.","African Americans, Behavioral Research [statistics & numerical data], Bias (Epidemiology), European Continental Ancestry Group [psychology], Fourier Analysis, Humans, Prejudice, Reaction Time, Regression Analysis, Stereotyping","https://osf.io/fejxb/","Failure","Correll, J. (2008). 1/f noise and effort on implicit measures of bias. Journal of Personality and Social Psychology, 94, 48-59.","LeBel, E. P. (2023, September 28). Replication of Correll (2008, JPSP, Study 2). Retrieved from osf.io/fejxb"
"Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.","Adult, Attention, Discrimination Learning, Humans, Memory, Short-Term, Pattern Recognition, Visual, Practice (Psychology), Probability Learning, Retention (Psychology), Serial Learning","https://osf.io/k9gp6/","OS not significant","Couture, M., Lafond, D., & Tremblay, S. (2008). Learning correct responses and errors in the hebb repetition effect: Two faces of the same coin. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 524-532.","Roebke, M. A., & Della Penna, N. (2023, September 28). Replication of Couture, Lafond, and Tremblay (2008, JEPLMC 34(3)). Retrieved from osf.io/k9gp6"
"Terror management and adults' attachment to their parents: The safe haven remains.","Adaptation, Psychological, Adolescent, Adult, Adult Children [psychology], Attitude to Death, Defense Mechanisms, Fear, Female, Humans, Male, Mental Recall, Middle Aged, Object Attachment, Parent-Child Relations, Self Efficacy, Social Support","https://osf.io/5tbxf/","Failure","Cox, C.R., Arndt, J., Pyszczynski, T., Greenberg, J., Abdollahi, A., & Solomon, S. (2008). Terror management and adults' attachment to their parents: The safe haven remains. Journal of Personality and Social Psychology, 94(4), 696-717.","Wissink, J., Hoogendoorn, G. E. A. M., Brohmer, H., Verschoor, M., Zeelenberg, M., & Krijnen, J. M. T. (2016, August 19). Replication of CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon (2008, JPSP 94(4), Exp. 6). Retrieved from osf.io/5tbxf"
"Perceived status threat from the racial demographic shift affects White Americans’ political ideology","","https://osf.io/xwn9m/","Failure","Craig, M. A., & Richeson, J. A. (2014). On the precipice of a “majority-minority” America: Perceived status threat from the racial demographic shift affects White Americans’ political ideology. Psychological science, 25(6), 1189-1197.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Influence of incidental anchors on judgment","Many Labs 2","https://osf.io/8cd4r/","Failure","Critcher, C. R., & Gilovich, T. (2008). Incidental environmental anchors. Journal of Behavioral Decision Making, 21, 241–251.  Study 2","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"How quick decisions illuminate moral character","","https://osf.io/xwn9m/","OS not significant","Critcher, C. R., Inbar, Y., & Pizarro, D. A. (2013). How quick decisions illuminate moral character. Social Psychological and Personality Science, 4(3), 308-315.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Where do we look during potentially offensive behavior?","African Continental Ancestry Group [psychology], Association, Attention, European Continental Ancestry Group [psychology], Eye Movements, Fixation, Ocular, Humans, Interpersonal Relations, Orientation, Prejudice, Social Identification","https://osf.io/b98zw/","OS not significant","Crosby, J.R., Monin, B., & Richardson, D. (2008). Where do we look during potentially offensive behavior? Psychological Science, 19(3), 226-228.","Jonas, K., & Skorinko, J. (2023, September 28). Replication of JR Crosby, B Monin, D Richardson (2008, PS 19(3)). Retrieved from osf.io/b98zw"
"evaluative processing goals shape amygdala activity","","https://www.osf.io/7vgkq","Failure","Cunningham, W. A., Van Bavel, J. J., & Johnsen, I. R. (2008). Affective flexibility: evaluative processing goals shape amygdala activity. Psychological Science, 19(2), 152-160.","McRae, K., Lumian, D. S., &  T. (2023, September 28). Materials."
"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","Attention, Awareness, Cues, Culture, Decision Making, Feeding Behavior, Female, Goals, Humans, Internal-External Control, Judgment, Male, Mental Recall, Persuasive Communication, Problem Solving, Psychomotor Performance, Semantics, Set (Psychology)","https://osf.io/vy1bc/","Failure","D Albarracín, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart (2008). Increasing and decreasing motor and cognitive output: a model of general action and inaction goals. Journal of Personality and Social Psychology, 95.3: 510-523.","Frank, M. C., Kim, S. K., & Lee, K. J. (2023, September 28). Replication of Albarracín et al. (2008, JPSP). Retrieved from osf.io/vy1bc"
"The value heuristic in judgments of relative frequency.","","https://osf.io/xwn9m/","OS not significant","Dai, X., Wertenbroch, K., & Brendl, C. M. (2008). The value heuristic in judgments of relative frequency. Psychological Science, 19(1), 18.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"cognitive dynamics of negated sentence verification","","https://osf.io/xwn9m/","Success","Dale, R., & Duran, N. D. (2011). The cognitive dynamics of negated sentence verification. Cognitive science, 35(5), 983-996.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Model-based influences on humans' choices and striatal prediction errors","","https://osf.io/xwn9m/","OS not significant","Daw, N. D., Gershman, S. J., Seymour, B., Dayan, P., & Dolan, R. J. (2011). Model-based influences on humans' choices and striatal prediction errors. Neuron, 69(6), 1204-1215.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Heat-Priming is associated with increased hostile perceptions","","","Failure","DeWall, C. N., & Bushman, B. J. (2009). Hot under the collar in a lukewarm environment: Words associated with hot temperature increase aggressive thoughts and hostile perceptions. Journal of Experimental Social Psychology, 45(4), 1045-1047.","McCarthy, R. J. (2014, March 8). The Effect of ""Heat-Priming"" on Hostile Perceptions."
